source,target,k,rep,f1_macro
M01,M02,17,13,0.8421052631578947
M01,M02,17,14,0.9473684210526315
M01,M02,17,15,0.9
M01,M02,17,16,1.0
M01,M02,17,17,0.6923076923076923
M01,M02,17,18,0.8888888888888888
M01,M02,17,19,0.8421052631578947
M01,M02,18,0,0.9473684210526315
M01,M02,18,1,0.8421052631578947
M01,M02,18,2,0.6086956521739131
M01,M02,18,3,0.8888888888888888
M01,M02,18,4,0.8181818181818182
M01,M02,18,5,0.8888888888888888
M01,M02,18,6,0.8888888888888888
M01,M02,18,7,0.6923076923076923
M01,M02,18,8,0.8235294117647058
M01,M02,18,9,0.75
M01,M02,18,10,0.6666666666666666
M01,M02,18,11,0.9473684210526315
M01,M02,18,12,0.8181818181818182
M01,M02,18,13,0.8421052631578947
M01,M02,18,14,0.9411764705882353
M01,M02,18,15,0.875
M01,M02,18,16,0.8235294117647058
M01,M02,18,17,0.9473684210526315
M01,M02,18,18,0.8888888888888888
M01,M02,18,19,0.8888888888888888
M01,M02,19,0,0.8235294117647058
M01,M02,19,1,0.8
M01,M02,19,2,0.9411764705882353
M01,M02,19,3,0.8
M01,M02,19,4,0.8888888888888888
M01,M02,19,5,0.9411764705882353
M01,M02,19,6,0.8
M01,M02,19,7,1.0
M01,M02,19,8,0.8571428571428571
M01,M02,19,9,0.75
M01,M02,19,10,0.8
M01,M02,19,11,0.875
M01,M02,19,12,0.9333333333333333
M01,M02,19,13,0.8571428571428571
M01,M02,19,14,0.9411764705882353
M01,M02,19,15,0.8
M01,M02,19,16,0.8888888888888888
M01,M02,19,17,0.875
M01,M02,19,18,0.8571428571428571
M01,M02,19,19,0.8
M01,M02,20,0,0.875
M01,M02,20,1,0.9333333333333333
M01,M02,20,2,0.7142857142857143
M01,M02,20,3,0.8571428571428571
M01,M02,20,4,0.9230769230769231
M01,M02,20,5,0.8571428571428571
M01,M02,20,6,0.75
M01,M02,20,7,0.9230769230769231
M01,M02,20,8,0.9333333333333333
M01,M02,20,9,0.7692307692307693
M01,M02,20,10,0.6363636363636364
M01,M02,20,11,0.8571428571428571
M01,M02,20,12,1.0
M01,M02,20,13,0.875
M01,M02,20,14,0.8571428571428571
M01,M02,20,15,0.8571428571428571
M01,M02,20,16,0.9230769230769231
M01,M02,20,17,0.875
M01,M02,20,18,0.8571428571428571
M01,M02,20,19,0.9333333333333333
M01,M03,0,0,0.75
M01,M03,0,1,0.8
M01,M03,0,2,0.8
M01,M03,0,3,0.7142857142857143
M01,M03,0,4,0.8
